id_ingrediente,ingrediente
980,pacotinho queijo parmesao
981,germen trigo
982,queijo cottage
983,leite condensando
984,aspargo
985,azeitonas pretas verde
986,sobremesa po royal
987,ameixas caroco
988,morangos limpo
989,agua cozinhar
990,acucar granulado
991,desejar
992,geleia
993,carne frango
994,aguardente
995,sorvete chocolate
996,costela porco
997,abobora cortada
998,mussarela queijo
999,gordura
1000,abobrinhas italiana
1001,acucar caramelar
1002,cacao
1003,barras chocolate
1004,medidas leite vaca
1005,amendoim torrado triturado
1006,chantilly decorar
1007,uva passa preta
1008,ervilha milho
1009,escarola
1010,costela boi
1011,frango passarinho
1012,carne porco
1013,biscoitos champagne
1014,hamburguere
1015,molho pomarola
1016,molho pimenta vermelha
1017,alho frito
1018,cravo moido
1019,flocao milho
1020,azeitona verde caroco
1021,bis branco
1022,leite condensado moca
1023,manteiga margarina derretida
1024,dose conhaque
1025,goma tapioca
1026,rolo massa pastel
1027,gomo calabresa
1028,azeite virgem
1029,macarrao penne parafuso
1030,pimentas vermelha
1031,calice conhaque
1032,leite umedecer bolacha
1033,granulado decorar
1034,queijo minas curado
1035,tomates firme
1036,chocolate po cacau
1037,leite condessado
1038,ameixa preta
1039,coxa
1040,pepino japone
1041,calice rum
1042,file pescada
1043,talo
1044,atum light
1045,agua cozimento
1046,creme chantilly
1047,pimenta cheiro verde
1048,biscoito
1049,manteiga margarina untar
1050,cheiro verde cebolinha
1051,farinha fermento
1052,uva passa branca
1053,seco
1054,chocolate derretido
1055,cacao posta
1056,doce leite pastoso
1057,figo
1058,requeijao oleo
1059,curry po
1060,pipoca
1061,sobrecoxa frango
1062,coxas sobrecoxas frango
1063,files peixe
1064,ameixas seca
1065,peca lagarto
1066,coco coco
1067,margarina farinha untar
1068,coxa frango
1069,suco po
1070,sazon verde
1071,essencia rum
1072,margarina delicia
1073,leite coco light
1074,chantily
1075,nescau chocolate po
1076,limoes taiti
1077,tomate fina
1078,acucar canela po
1079,cereja calda
1080,acafrao po
1081,sobremesa mostarda
1082,azeitona fatiada
1083,alfavaca
1084,quiser
1085,suco laranja natural
1086,manjericao seco
1087,leite umedecer biscoito
1088,tapioca granulada
1089,acucar comum
1090,massa limao
1091,macarrao parafuso penne
1092,iorgute natural
1093,iogurte natural integral
1094,gelo vontade
1095,fermento granulado
1096,fermento fleischmann
1097,calabresa defumada
1098,mandioca espremida
1099,queijo gruyere
1100,confeito
1101,cacho uva
1102,vinagre limao
1103,oregano azeite
1104,chocolate cobertura
1105,licor chocolate
1106,fermento biologico po
1107,bacon fina
1108,damascos seco
1109,fermento biologico pao
1110,torrada
1111,calice vinho branco
1112,refrigerante
1113,sococo
1114,palmito conserva
1115,presunto peito peru
1116,limoes espremido
1117,pao hamburguer
1118,knorr
1119,acucar refinada
1120,talo alho poro
1121,coco fino
1122,vermelho
1123,molho branco pronto
1124,cenouras fina
1125,preta
1126,ovo caipira
1127,catupiri
1128,caldo galinha legume
1129,caldo knorr frango
1130,biscoito leite
1131,ameixa seca
1132,fuba milho
1133,ameixa preta caroco
1134,bolas sorvete
1135,salsinha decorar
1136,caldo galinha caipira
1137,feijao verde
1138,carne moida magra
1139,gelatina cereja
1140,batatas fina
1141,licor
1142,nozes decorar
1143,pimentao vermelho amarelo
1144,molho tomate pomarola
1145,vermelho amarelo
1146,oleo margarina
1147,coco queimado
1148,carne moida frango
1149,camarao cabeca
1150,misto
1151,manteiga azeite
1152,feijao carioquinha
1153,cafe azeite
1154,meia agua
1155,cobertura chocolate
1156,agua ga
